City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Ahipara,NZ,-35.1667,173.1667,60.17,88,14,16.69,few clouds
329,Vergara,UY,-32.9333,-53.95,45.61,55,7,11.3,clear sky
330,Cherskiy,RU,68.75,161.3,67.71,31,31,14.03,scattered clouds
331,Morococha,PE,-11.5997,-76.1411,44.85,47,86,2.1,overcast clouds
332,Luderitz,NA,-26.6481,15.1594,67.44,30,97,3.85,overcast clouds
333,Atherton,GB,53.5237,-2.4935,60.22,68,0,4.0,clear sky
334,Havoysund,NO,70.9963,24.6622,43.03,76,96,15.7,overcast clouds
335,Zverinogolovskoye,RU,54.4586,64.8542,52.68,95,12,7.36,few clouds
336,Dawei,MM,14.0833,98.2,76.71,91,99,2.51,overcast clouds
337,Grindavik,IS,63.8424,-22.4338,58.95,71,0,14.97,clear sky
338,Honningsvag,NO,70.9821,25.9704,42.55,75,75,13.8,broken clouds
339,Kargasok,RU,59.0556,80.8572,61.09,64,100,6.26,overcast clouds
340,Padang,ID,-0.9492,100.3543,75.58,91,94,1.63,overcast clouds
341,Marawi,PH,7.9986,124.2928,67.53,94,23,2.39,few clouds
342,Belyy Yar,RU,53.6039,91.3903,51.85,61,0,2.24,clear sky
343,Avera,US,33.194,-82.5271,87.39,30,85,4.47,overcast clouds
344,Ghanzi,BW,-21.5667,21.7833,52.88,38,0,9.28,clear sky
345,Sitka,US,57.0531,-135.33,53.49,76,100,11.5,light rain
346,Fare,PF,-16.7,-151.0167,80.15,73,3,13.4,light rain
347,Coahuayana,MX,18.7333,-103.6833,89.98,54,100,6.24,overcast clouds
